href,label,jobTitle,companyName,companyLocation,salary-snippet,ialbl,job-snippet,date,shelfItem,job-snippet 2,job-snippet 3
https://pk.indeed.com/company/PAKISTAN-TELECOMMUNICATION-COMPANY-LIMITED/jobs/Ptcl-Official-Helpline-f9a96bacd0f0d1e8?fccid=c26ac5a5980efa9c&vjs=3,new,PTCL Official Helpline 1236/1218 - Male/Female,PAKISTAN TELECOMMUNICATION COMPANY LIMITED,Lahore,"Rs 20,000 - Rs 35,000 a month",Easily apply,"PTCL, A leading Telecommunication company requires Customer Care Representative (CCRs) for their helpline located in *PTCL Exchange , Wafaqi Colony Johar Town…",Just posted,,,
https://pk.indeed.com/company/Estate-Adz/jobs/Fresh-Student-2732613cbb47e6ce?fccid=544b4a26e4d8e555&vjs=3,,Fresh Students Required / online / office / part & full time,Estate Adz,Rawalpindi,"Rs 30,000 - Rs 35,000 a month",Easily apply,"Job Types: Full-time, Part-time, Internship, Contract.",26 days ago,,,
https://pk.indeed.com/rc/clk?jk=573751543fce524e&fccid=0a8adc92adb8cdc0&vjs=3,,Data Entry Work Online,Click Jobs,Lahore,,,"Job Types: Full-time, Part-time.",30+ days ago,,,
https://pk.indeed.com/company/Estate-Adz/jobs/Office-Supervisor-1794ac4b14beab72?fccid=544b4a26e4d8e555&vjs=3,,Office Supervisor,Estate Adz,Rawalpindi,"Rs 30,000 - Rs 45,000 a month",Easily apply,We are looking for an organized and reliable office supervisor to perform administrative tasks and and oversee administrative staff to ensure that all office…,19 days ago,,,
https://pk.indeed.com/company/STAR-Marketing/jobs/Need-Matric-Candidate-9e5ecac807617dbe?fccid=af1552ac25d0f918&vjs=3,,Need Matric Candidate,,Rawalpindi,"Rs 24,000 - Rs 38,000 a month",Easily apply,"Job Types: Full-time, Part-time.",27 days ago,Responsive employer,,
https://pk.indeed.com/rc/clk?jk=935cf784c76a9830&fccid=5f990fba6bfba7ae&vjs=3,,Cash Officer - Sialkot Region,,Sialkot,,,Handling and executing all financial/non-financial transactions in accordance with bank policies and procedure while maintaining high service standards.,30+ days ago,,,
https://pk.indeed.com/company/Airlift-Express/jobs/Grocery-Delivery-Rider-235e3ce2f547ad6a?fccid=35161af65e7d8c06&vjs=3,new,Grocery Delivery Riders,Airlift Express,Lahore,"Rs 45,000 - Rs 55,000 a month",Easily apply to this job without a resume,"Humaray apnay warehouses hain aur hum grocery deliver kartay hain, agar aap aaj hi humain join kartay hain tou aap hasil kar saktay hain 2500 ka sign up bonus,…",Just posted,,,
https://pk.indeed.com/company/ITSolution24x7/jobs/Broadcast-b59c66ec28e500e0?fccid=bb1964767cb2a338&vjs=3,new,broadcast,ITSolution24x7,Multan,,Easily apply,"Job Types: Part-time, Temporary.",Today,Responsive employer,,
https://pk.indeed.com/company/STAR-Marketing/jobs/Need-Staff-Team-Worker-be0595c2a8b6a076?fccid=af1552ac25d0f918&vjs=3,,Need Staff as team worker,,Rawalpindi,"Rs 38,000 - Rs 40,000 a month",Easily apply,Urgent Students Required for office work and management in different departments Graduates students Matric or inter both Fresh students Apply now Job Type…,24 days ago,Responsive employer,,
https://pk.indeed.com/rc/clk?jk=516c3fcbde47ec01&fccid=0a8adc92adb8cdc0&vjs=3,,Data Entry Operator,Click Jobs,Lahore,,,"25,000 PKR salary + bonuses.",30+ days ago,,"You will be researching websites, gathering data and entering the data into our database.",Age 20-30 years old.
https://pk.indeed.com/company/Arz-Marketing/jobs/Fresh-Candidate-Management-11b14ca5cde99e36?fccid=eb6dd6aea2192fe9&vjs=3,,Fresh Candidates Required For Management,Arz Marketing,Islamabad,"Rs 34,000 - Rs 45,000 a month",Easily apply,Schedule and confirm interviews with candidates.,16 days ago,,Must have good Communication skills.,Hands-on experience with MS Office.
https://pk.indeed.com/company/Falcon-Scaling/jobs/Virtual-Assistant-f35420c4e8daa287?fccid=acae10be1f837061&vjs=3,,Virtual Assistant,Falcon Scaling,Quetta,"Rs 50,000 a month",Easily apply,"Our primary focus is in optimizing and integrating popular CRM systems such as SalesForce, PipeDrive, Zoho, Close, and Microsoft Dynamics, as well as popular…",30+ days ago,,,
https://pk.indeed.com/rc/clk?jk=f4596d6b72d814ba&fccid=4b3e34262b7f2343&vjs=3,,Entry level position - HR,,Pakistan,,,"Entry level position is vacant in the HR Department of a leading islamic bank. Young Graduates with HR as their major subject, having personal interest in…",30+ days ago,,,
https://pk.indeed.com/rc/clk?jk=2a5caf2ae98ceb61&fccid=485eec79cceca3b1&vjs=3,new,M & E Analyst,United Nations Pakistan,Peshawar,,,We are looking for M & E Analyst for our Stabilization and Development Programme. All interested candidates are encouraged to apply to the link below or…,Just posted,,,
https://pk.indeed.com/company/Al-Shaheer-Foods/jobs/Data-Entry-Operator-94a4291212d63ae0?fccid=e851ccc159f4e224&vjs=3,,Data Entry Operator,Al Shaheer Foods,Lahore,"Rs 35,000 - Rs 40,000 a month",Easily apply,Work on ERM OR microsoft dynamics.,11 days ago,Responsive employer,,
https://pk.indeed.com/company/PAC-Group-of-Colleges/jobs/Assistant-Manager-Admission-23abf9ccc92a309f?fccid=9bddc7b65d21c56a&vjs=3,,Assistant Manager Admission,PAC Group of Colleges,Lahore,"Rs 60,000 - Rs 75,000 a month",Easily apply,Candidates having relevant experience are encouraged to apply.,20 days ago,,Ensure a strategic plan for Providing admission counseling to students and parents.,
https://pk.indeed.com/company/Senew-Tech/jobs/Data-Analyst-3199b700ea275fd4?fccid=b37ea5b54d2b5ba2&vjs=3,new,Data Analyst,Senew Tech,Lahore,"Rs 18,000 - Rs 20,000 a month",Easily apply,Senew Tech is looking for a Data Analyst to support our Development and Business teams.,Today,,Scrap data for potential clients from different platforms.,
https://pk.indeed.com/company/Mediboost/jobs/Direct-Response-Copywriter-Pakistan-fe82a7a003628a76?fccid=51cc5751fda1ba5b&vjs=3,,Direct Response Copywriter (FB and Google) | Work From Home...,Mediboost,Pakistan,"Rs 60,000 - Rs 100,000 a month",Easily apply to this job without a resume,Atleast 2 years Experience writing Ads for Facebook and Google.,30+ days ago,Responsive employer,"✅ Work From Home, Full-time & Long-Term.",✅ 60K - 100K PKR a month depending on experience.
https://pk.indeed.com/company/Ammar-Cosmetics/jobs/Fresh-Graduate-Office-Work-5c2a2f72c01e7767?fccid=37e09304efac84ab&vjs=3,,FRESH GRADUATES FOR OFFICE WORK,Ammar Cosmetics,Rawalpindi,"Rs 50,000 - Rs 60,000 a month",Easily apply,Handling incoming phone calls and other communications.,27 days ago,,Updating paperwork and other documents.,"Job Types: Full-time, Part-time."
https://pk.indeed.com/company/STAR-Marketing/jobs/Office-Worker-aef699e774017dcb?fccid=af1552ac25d0f918&vjs=3,,Office worker,,Rawalpindi,"Rs 25,000 - Rs 35,000 a month",Easily apply,"Job Types: Full-time, Part-time.",30+ days ago,Responsive employer,,
https://pk.indeed.com/company/Dreamland-Marketing/jobs/Summer-Internship-Program-98d1d7f4881b7ac0?fccid=e8ecdd64ff46efe5&vjs=3,,Summer Internship Program 2021,Dreamland Marketing,Islamabad,"Rs 15,000 - Rs 30,000 a month",Easily apply,Candidates doing bachelor's or Masters's degrees or have recently graduated in Any Academic Field can apply for this Internship.,11 days ago,,,
https://pk.indeed.com/rc/clk?jk=ea83554a9b6a5db1&fccid=0a8adc92adb8cdc0&vjs=3,,OFFICE ASSISTANT,Click Jobs,Lahore,,,"Tracking, ordering and taking stock of office supplies.",30+ days ago,,Ensure that office and conference rooms maintain a professional demeanour.,
https://pk.indeed.com/company/Continental-Car-Hire-Ltd/jobs/Customer-Service-Representative-f30bfb5e6769bc82?fccid=66efa9ccbb219ad6&vjs=3,new,Customer Service Representative,Continental Car Hire Ltd,Lahore,"Rs 35,000 - Rs 45,000 a month",Easily apply,The candidate must be proficient in English communication (both speaking and written skills).,Just posted,,"Preparation, approvals and monitoring of credit hire agreements.",
https://pk.indeed.com/company/Rozee-Academy/jobs/Virtual-Assistant-8842f259ed252110?fccid=3e0feaeeecf97fb0&vjs=3,,Virtual Assistant,Rozee Academy,Islamabad,"Rs 45,000 - Rs 70,000 a month",Easily apply,Must have impeccable written and spoken English.,20 days ago,Responsive employer,"Must be driven, enthusiastic with excellent English.","Job Types: Full-time, Contract."
https://pk.indeed.com/company/Zain-Furnishing/jobs/Data-Researcher-16e31bfdc2f4d04e?fccid=0ece06912a208d58&vjs=3,new,Data Researcher,Zain Furnishing,Lahore,"Rs 10,000 a month",Easily apply,Utilising business intelligence to define ideal audience and contacts.,Today,,"Data Entry, and contact management across various platforms.",
https://pk.indeed.com/company/PAKISTAN-TELECOMMUNICATION-COMPANY-LIMITED/jobs/Dae-Holder-Ptcl-00f15ac4d727f96a?fccid=c26ac5a5980efa9c&vjs=3,,DAE Holders Required for PTCL,PAKISTAN TELECOMMUNICATION COMPANY LIMITED,Peshawar,"Rs 18,000 - Rs 25,000 a month",Easily apply,Installation & troubleshooting of PTCL Telephone Line.,10 days ago,,Installation & troubleshooting of PTCL Internet.,Installation & troubleshooting of PTCL TV.
https://pk.indeed.com/company/Jobly-Communication/jobs/Customer-Service-Representative-5c1539a1d99aae41?fccid=0735194107f4afb7&vjs=3,new,Customer Services Representative,Jobly Communication,Lahore,"Rs 18,000 - Rs 50,000 a month",Easily apply,"Job Types: Full-time, Part-time, Temporary.",Today,,,
https://pk.indeed.com/rc/clk?jk=a7543f18a05409eb&fccid=227964eeb8dce2f1&vjs=3,,Computer Operators,STARS ACADEMY LHR,Lahore,,,"We require competent Computer Operators (Males). If you're dedicated and ambitious, it is an excellent opportunity to grow your career. Following Softwares…",30+ days ago,,,
https://pk.indeed.com/company/Dandaw-pvt-limited/jobs/Fresh-Graduate-Office-Work-bbb94ea8e8fe40e1?fccid=ad4e2e3057455e90&vjs=3,,FRESH GRADUATE REQUIRED FOR OFFICE WORK,Dandaw pvt limited,Islamabad,"Rs 25,000 - Rs 37,000 a month",Easily apply,Our company is looking for an Office staff to be responsible for our office work.,30+ days ago,,"You will be handling incoming phone calls and other communications, greeting…",
https://pk.indeed.com/company/HRSG-Outsourcing-Pvt.Ltd./jobs/Executive-Assistant-64d146e0e0013d6b?fccid=cdf7d515e5930a3c&vjs=3,,Executive Assistant,,Islamabad,"Rs 80,000 a month",Easily apply,"Provides administrative support within any of a variety of departments managing calendars, making travel arrangements, preparing reports, setting up meetings,…",13 days ago,Responsive employer,,
